Word         , Frequency, Frequency (%)
miss         ,         2, 0.0631712%
rich         ,         2, 0.0631712%
maid         ,         2, 0.0631712%
madam        ,         2, 0.0631712%
mad          ,         2, 0.0631712%
rosaline     ,         2, 0.0631712%
lovers       ,         2, 0.0631712%
lost         ,         2, 0.0631712%
look         ,         2, 0.0631712%
lives        ,         2, 0.0631712%
ears         ,         2, 0.0631712%
time         ,         2, 0.0631712%
depart       ,         2, 0.0631712%
thrust       ,         2, 0.0631712%
did          ,         2, 0.0631712%
dies         ,         2, 0.0631712%
dog          ,         2, 0.0631712%
thine        ,         2, 0.0631712%
drawing      ,         2, 0.0631712%
drawn        ,         2, 0.0631712%
e            ,         2, 0.0631712%
early        ,         2, 0.0631712%
daughters    ,         2, 0.0631712%
east         ,         2, 0.0631712%
either       ,         2, 0.0631712%
en           ,         2, 0.0631712%
er           ,         2, 0.0631712%
escalus      ,         2, 0.0631712%
ever         ,         2, 0.0631712%
anything     ,         2, 0.0631712%
exits        ,         2, 0.0631712%
teach        ,         2, 0.0631712%
any          ,         2, 0.0631712%
consent      ,         2, 0.0631712%
capulets     ,         2, 0.0631712%
cankered     ,         2, 0.0631712%
call         ,         2, 0.0631712%
cause        ,         2, 0.0631712%
weak         ,         2, 0.0631712%
close        ,         2, 0.0631712%
clouds       ,         2, 0.0631712%
clubs        ,         2, 0.0631712%
uncle        ,         2, 0.0631712%
bound        ,         2, 0.0631712%
welcome      ,         2, 0.0631712%
1            ,         2, 0.0631712%
black        ,         2, 0.0631712%
county       ,         2, 0.0631712%
crutch       ,         2, 0.0631712%
whither      ,         2, 0.0631712%
begin        ,         2, 0.0631712%
been         ,         2, 0.0631712%
beauties     ,         2, 0.0631712%
cut          ,         2, 0.0631712%
back         ,         2, 0.0631712%
wilt         ,         2, 0.0631712%
affections   ,         2, 0.0631712%
young        ,         2, 0.0631712%
fear         ,         2, 0.0631712%
about        ,         2, 0.0631712%
writ         ,         2, 0.0631712%
folger       ,         2, 0.0631712%
yet          ,         2, 0.0631712%
world        ,         2, 0.0631712%
sweet        ,         2, 0.0631712%
first        ,         2, 0.0631712%
farewell     ,         2, 0.0631712%
swords       ,         2, 0.0631712%
fight        ,         2, 0.0631712%
alas         ,         2, 0.0631712%
2            ,         2, 0.0631712%
alike        ,         2, 0.0631712%
fellow       ,         2, 0.0631712%
would        ,         2, 0.0631712%
pens         ,         1, 0.0315856%
wert         ,         1, 0.0315856%
weary        ,         1, 0.0315856%
weep         ,         1, 0.0315856%
rank         ,         1, 0.0315856%
weighed      ,         1, 0.0315856%
quiet        ,         1, 0.0315856%
rather       ,         1, 0.0315856%
weapons      ,         1, 0.0315856%
question     ,         1, 0.0315856%
quench       ,         1, 0.0315856%
went         ,         1, 0.0315856%
werstine     ,         1, 0.0315856%
younger      ,         1, 0.0315856%
westward     ,         1, 0.0315856%
puts         ,         1, 0.0315856%
whence       ,         1, 0.0315856%
perhaps      ,         1, 0.0315856%
whereto      ,         1, 0.0315856%
push         ,         1, 0.0315856%
whipped      ,         1, 0.0315856%
pursuing     ,         1, 0.0315856%
pursued      ,         1, 0.0315856%
watchmen     ,         1, 0.0315856%
urged        ,         1, 0.0315856%
vitruvio     ,         1, 0.0315856%
voice        ,         1, 0.0315856%
rooteth      ,         1, 0.0315856%
0            ,         1, 0.0315856%
peered       ,         1, 0.0315856%
vow          ,         1, 0.0315856%
waking       ,         1, 0.0315856%
ripe         ,         1, 0.0315856%
walk         ,         1, 0.0315856%
walking      ,         1, 0.0315856%
ware         ,         1, 0.0315856%
washing      ,         1, 0.0315856%
waste        ,         1, 0.0315856%
weapon       ,         1, 0.0315856%
way          ,         1, 0.0315856%
penalty      ,         1, 0.0315856%
weaker       ,         1, 0.0315856%
remember     ,         1, 0.0315856%
weakest      ,         1, 0.0315856%
religion     ,         1, 0.0315856%
rejoice      ,         1, 0.0315856%
pencil       ,         1, 0.0315856%
reckoning    ,         1, 0.0315856%
reck         ,         1, 0.0315856%
rebellious   ,         1, 0.0315856%
purged       ,         1, 0.0315856%
rebecca      ,         1, 0.0315856%
reads        ,         1, 0.0315856%
poised       ,         1, 0.0315856%
poston       ,         1, 0.0315856%
peter        ,         1, 0.0315856%
petruchio    ,         1, 0.0315856%
wise         ,         1, 0.0315856%
wisely       ,         1, 0.0315856%
posterity    ,         1, 0.0315856%
portentous   ,         1, 0.0315856%
piece        ,         1, 0.0315856%
wit          ,         1, 0.0315856%
withal       ,         1, 0.0315856%
worshiped    ,         1, 0.0315856%
poison       ,         1, 0.0315856%
piteous      ,         1, 0.0315856%
worm         ,         1, 0.0315856%
winter       ,         1, 0.0315856%
wither       ,         1, 0.0315856%
within       ,         1, 0.0315856%
pity         ,         1, 0.0315856%
please       ,         1, 0.0315856%
works        ,         1, 0.0315856%
wood         ,         1, 0.0315856%
place        ,         1, 0.0315856%
woman        ,         1, 0.0315856%
placentio    ,         1, 0.0315856%
woo          ,         1, 0.0315856%
plantain     ,         1, 0.0315856%
play         ,         1, 0.0315856%
women        ,         1, 0.0315856%
profaners    ,         1, 0.0315856%
pernicious   ,         1, 0.0315856%
yes          ,         1, 0.0315856%
years        ,         1, 0.0315856%
whom         ,         1, 0.0315856%
yard         ,         1, 0.0315856%
widow        ,         1, 0.0315856%
prove        ,         1, 0.0315856%
wield        ,         1, 0.0315856%
william      ,         1, 0.0315856%
propagate    ,         1, 0.0315856%
person       ,         1, 0.0315856%
willingly    ,         1, 0.0315856%
wrong        ,         1, 0.0315856%
prologue     ,         1, 0.0315856%
purple       ,         1, 0.0315856%
writing      ,         1, 0.0315856%
private      ,         1, 0.0315856%
window       ,         1, 0.0315856%
windows      ,         1, 0.0315856%
prison       ,         1, 0.0315856%
winds        ,         1, 0.0315856%
wine         ,         1, 0.0315856%
pride        ,         1, 0.0315856%
pretty       ,         1, 0.0315856%
pressed      ,         1, 0.0315856%
preserving   ,         1, 0.0315856%
prepared     ,         1, 0.0315856%
precious     ,         1, 0.0315856%
terms        ,         1, 0.0315856%
siege        ,         1, 0.0315856%
sight        ,         1, 0.0315856%
since        ,         1, 0.0315856%
sirrah       ,         1, 0.0315856%
sisters      ,         1, 0.0315856%
slave        ,         1, 0.0315856%
sleep        ,         1, 0.0315856%
th           ,         1, 0.0315856%
thither      ,         1, 0.0315856%
talk         ,         1, 0.0315856%
soft         ,         1, 0.0315856%
tailor       ,         1, 0.0315856%
sycamore     ,         1, 0.0315856%
soonest      ,         1, 0.0315856%
swung        ,         1, 0.0315856%
sorrows      ,         1, 0.0315856%
thrusts      ,         1, 0.0315856%
short        ,         1, 0.0315856%
tool         ,         1, 0.0315856%
toil         ,         1, 0.0315856%
today        ,         1, 0.0315856%
till         ,         1, 0.0315856%
shows        ,         1, 0.0315856%
shrift       ,         1, 0.0315856%
shunned      ,         1, 0.0315856%
sought       ,         1, 0.0315856%
shut         ,         1, 0.0315856%
throw        ,         1, 0.0315856%
shuts        ,         1, 0.0315856%
through      ,         1, 0.0315856%
thrice       ,         1, 0.0315856%
though       ,         1, 0.0315856%
sides        ,         1, 0.0315856%
subjects     ,         1, 0.0315856%
starved      ,         1, 0.0315856%
steals       ,         1, 0.0315856%
supper       ,         1, 0.0315856%
steel        ,         1, 0.0315856%
step         ,         1, 0.0315856%
summers      ,         1, 0.0315856%
suitor       ,         1, 0.0315856%
suit         ,         1, 0.0315856%
supposed     ,         1, 0.0315856%
strucken     ,         1, 0.0315856%
stole        ,         1, 0.0315856%
yours        ,         1, 0.0315856%
stranger     ,         1, 0.0315856%
struck       ,         1, 0.0315856%
strong       ,         1, 0.0315856%
strife       ,         1, 0.0315856%
swan         ,         1, 0.0315856%
sworn        ,         1, 0.0315856%
sounding     ,         1, 0.0315856%
sparing      ,         1, 0.0315856%
sparkling    ,         1, 0.0315856%
speak        ,         1, 0.0315856%
spite        ,         1, 0.0315856%
splendor     ,         1, 0.0315856%
spread       ,         1, 0.0315856%
shoemaker    ,         1, 0.0315856%
st           ,         1, 0.0315856%
swallowed    ,         1, 0.0315856%
stage        ,         1, 0.0315856%
stained      ,         1, 0.0315856%
sups         ,         1, 0.0315856%
star         ,         1, 0.0315856%
stars        ,         1, 0.0315856%
scorn        ,         1, 0.0315856%
upon         ,         1, 0.0315856%
unto         ,         1, 0.0315856%
unless       ,         1, 0.0315856%
saying       ,         1, 0.0315856%
scales       ,         1, 0.0315856%
scant        ,         1, 0.0315856%
underneath   ,         1, 0.0315856%
scope        ,         1, 0.0315856%
strive       ,         1, 0.0315856%
sea          ,         1, 0.0315856%
secret       ,         1, 0.0315856%
unclean      ,         1, 0.0315856%
seducing     ,         1, 0.0315856%
uncharmed    ,         1, 0.0315856%
seeing       ,         1, 0.0315856%
seek         ,         1, 0.0315856%
sad          ,         1, 0.0315856%
ruled        ,         1, 0.0315856%
villain      ,         1, 0.0315856%
vexed        ,         1, 0.0315856%
run          ,         1, 0.0315856%
vessels      ,         1, 0.0315856%
runn         ,         1, 0.0315856%
version      ,         1, 0.0315856%
veins        ,         1, 0.0315856%
unattainted  ,         1, 0.0315856%
vanity       ,         1, 0.0315856%
sadly        ,         1, 0.0315856%
valiant      ,         1, 0.0315856%
valentio     ,         1, 0.0315856%
valentine    ,         1, 0.0315856%
said         ,         1, 0.0315856%
saint        ,         1, 0.0315856%
shalt        ,         1, 0.0315856%
transparent  ,         1, 0.0315856%
transgression,         1, 0.0315856%
set          ,         1, 0.0315856%
severity     ,         1, 0.0315856%
shady        ,         1, 0.0315856%
train        ,         1, 0.0315856%
shakespeares ,         1, 0.0315856%
traffic      ,         1, 0.0315856%
treading     ,         1, 0.0315856%
town         ,         1, 0.0315856%
towards      ,         1, 0.0315856%
torture      ,         1, 0.0315856%
tormented    ,         1, 0.0315856%
shin         ,         1, 0.0315856%
torchbearers ,         1, 0.0315856%
